YEAR,MONTH,DAY,PERIOD,BAND,AJahuel110->Sauzal110_BP1,AJahuel154->Paine154,AJahuel154->Tuniche154_II,AJahuel220->AJahuel110,AJahuel220->AJahuel154,AJahuel220->Buin110,AJahuel220->Chena220,AJahuel220->PAltoCmpc110,AJahuel220->SantaMarta220,AJahuel500->AJahuel220,Alfalfal220->Almendros220,Almendros110->Apoquindo110,Almendros220->AJahuel220,Almendros220->Almendros110,AMelipill220->LoAguirre220,Ancoa220->Itahue154,Ancoa500->AJahuel500,Ancoa500->Ancoa220,Andes220->Oeste220,Andes345->Andes220,Angamos220->Kapatur220,Angostura220->Mulchen220,Antofag110->Desalant110,Antofag110->LaNegra110,Antuco220->Charrua220,Antuco220->Trupan220,Apoquindo110->ElSalto110,Arica066->PAlmonte110,ASanta110->Mirafl110,ASanta220->ASanta110,Atacama220->OHiggins220,Batuco110->PPeuco110,Batuco110->PPeuco110_I,Bocamina154->Coronel154,Buin110->LoEspejo110,Cachiyuyal220->DAlmagro220,Candela220->AJahuel220,Canutilla220->PMontt220,Capricorn220->Capricorn110,Capricornio110->Antofag110,Capricornio110->ElNegro110,Capricornio110->LaNegra110,Capricornio220->Mantos220,Cardones220->Cardones110,Cardones220->CPinto220,Cardones220->CPinto220_I,Cardones220->CPinto220_II,Cardones220->CPinto220_III,Cautin220->RioTolten220,Chacaya220->Capricornio220,Chacaya220->ElCobre220,Chacaya220->Mejillones220,Charrua066->Cholguan066,Charrua154->Charrua066,Charrua154->Chillan154,Charrua154->Conce154,Charrua154->Parral154,Charrua220->Charrua154,Charrua220->Charrua500,Charrua220->Conce154,Charrua220->Duqueco220,Charrua220->EntreRios220,Charrua220->Hualpen220,Charrua220->Lagunillas220,Charrua220->Mulchen220,Charrua220->Ralco220,Charrua500->Ancoa500,Chena110->LoEspejo110,Chena220->Chena110,Chillan154->SantaElvira066,Chiloe110->Degan110,Chiloe110->Pid-Pid110,Cholguan220->Charrua220,Chuqui220->Chuqui100,Chuquicamata100->S-AA100,Chuquicamata100->S-Km6100,Cipreses154->Itahue154,Ciruelos220->Prropulli220,Ciruelos220->Valdivia220,CNavia110->Batuco110,CNavia110->Batuco110_I,CNavia110->Chena110,CNavia110->LVegas110_exp,CNavia220_Aux_D->Polpaico220,CNavia220->Chena220,CNavia220->CNavia110,CNavia220->CNavia220_Aux_D,Cochrane220->Encuentro220,Colbun220->Ancoa220,Colbun220->PNegro220,Conce154->Conce066,Conce154->SVicente154,Coronel154->Coronel066,Coronel154->Horcones066,Coronel66->Conce066,Crucero220->Barriles220,Crucero220->Chacaya220,Crucero220->Chuquicamata220,Crucero220->Conchi220,Crucero220->ElLoa220,Crucero220->Laberinto220,Crucero220->LaCruz220,Crucero220->MariaElena220,Crucero220->Salar220,Crucero220->Tocopilla220,Cumbres500_SC->NvaCardones500_SC,Cumbres500->NvaCardones500,DAlmagro220->DAlmagro110,DArica066->Arica066,DonaCarmen220->Nogales220,DonGoyo220->LaCebada220,DonGoyo220->Talinay220,DonHector220->PColorada220,Duqueco220->Temuco220,ElCobre220->Esperanza220,ElLoa220->Tocopilla220,ElNegro110->AltoNorte110,ElSalto110->SCristobal110,ElTesoro220->Esperanza220,Encuentro220->Colla220,Encuentro220->ElTesoro220,Encuentro220->Lagunas220,Encuentro220->Miraje220,EntreRios500->Ancoa500,EntreRios500->Charrua500,EntreRios500->EntreRios220,Esmeralda110->Portada110,Esmeralda220->Esmeralda110,Florida110->Almendros110,Florida110->StaRosa110,Fopaco154->Lagunillas154,Francisco220->DAlmagro220,GasAta220->Esmeralda220,Guacolda220->Maitenc220,Hualpen154->Mapal154,Hualpen220->Hualpen154,Illapa220->Cumbres500,Illapa220->DAlmagro220,Itahue154->Maule154,Itahue154->Teno154,Itahue220->Maule220,Kapatur220->Laberinto220,Kapatur220->Ohiggins220,Laberinto220->ElCobre220,Laberinto220->Mantos220,Laberinto220->NvaZald220,Laberinto220->Oeste220,LaCebada220->MRedondo220,LaCebada220->PuntaSierra220,Lagunas220->Collahuasi220,Lagunas220->NvaVictoria220,Lagunas220->Tarapaca220,Lagunillas154->Coronel154,Lagunillas220->Hualpen220,Lagunillas220->Lagunillas154,LaNegra110->AltoNorte110,Linares154->SJavier066,LoAguirre220->CNavia220,LoAguirre500->AJahuel500,LoAguirre500->LoAguirre220,LoAguirre500->Polpaico500,LoEspejo110->Ochagavia110,LosChangos220->Kapatur220,LosChangos500->Cumbres500,LosChangos500->Jadresic500,Jadresic500->Cumbres500,LosChangos500->Kimal500_I,LosChangos500->Kimal500_II,LosChangos500->LosChangos220,LosNotros220->Charrua220,LosNotros220->Cholguan220,LosNotros220->Mulchen220,LosNotros220->Trupan220,LPalmas220->LVilos220,LVilos220->DonaCarmen220,LVilos220->Nogales220,Maitenc110->Cardones110,Maitenc110->Huasco110,Maitenc220->Cardones220,Maitenc220->DonHector220,Maitenc220->Maitenc110,Maitenc220->PColorada220_II,Malloa154->Tinguiririca154,Mapal154->Fopaco154,MariaElena220->Lagunas220,MariaElena220->NvaVictoria220,Maule154->Linares154,Maule154->SMiguel066,Mejillones110->Pampa110,Mejillones220->Mejillones110,Mejillones220->OHiggins220,Miraje220->Atacama220,Miraje220->TOEnlace220,MRedondo220->PuntaSierra220,Mulchen220->Cautin220,Nogales220->Polpaico220,Nogales220->Quillota220,Nogales220->Ventanas220,Norgener220->Barriles220,Norgener220->LaCruz220,NvaCardones500->Cardones220,NvaMaitenc500->Maitenc220,NvaMaitenc500->NvaCardones500,NvaPAzucar500_SC->NvaMaitenc500_SC,NvaPAzucar500_SC->Polpaico500_I_SC,NvaPAzucar500_SC->Polpaico500_II_SC,NvaPAzucar500->NvaMaitenc500,NvaPAzucar500->PAzucar220,NvaPAzucar500->Polpaico500_I,NvaPAzucar500->Polpaico500_II,NvaZaldivar220->Andes220,NvaZaldivar220->MonteMina220,MonteMina220->Andes220,NvaZaldivar220->Domeyko220,Ochagavia110->Florida110,OHiggins220->Domeyko220,OHiggins220->Palestina220,Pachacama110->LVegas110,Paine154->Tuniche154_I,Palestina220->Domeyko220,PAlmonte220->Condores220,PAlmonte220->Lagunas220,PAlmonte220->PAlmonte110,Pampa110->Desalant110,Pangue220->Cholguan220,Pangue220->LosNotros220,Pangue220->Trupan220,Paposo220->Cachiyuyal220,Paposo220->Francisco220,Jadresic500->Jadresic220,Jadresic220->Jadresic220_II,Jadresic220_II->MonteMina220,Parral154->Linares154,PAzucar110->ElPenon110,PAzucar110->Maitenc110,PAzucar220->DonGoyo220,PAzucar220->PAzucar110,PAzucar220->PuntaSierra220,PColorada220->PAzucar220,PColorada220->PAzucar220_II,Pehuenche220->Ancoa220,Petroquim154->Hualpen154,Pid-Pid110->Chonchi110,Pillanlelbun066->Lautaro066,PMontt220->Chiloe110,PMontt220->Molinos110,PNegro220->Candela220,Polpaico220->ElSalto110,Polpaico500->Polpaico220,PPeuco110->LVegas110,PPeuco110->LVegas110_I,Prrahue220->Rahue220,Prropulli220->Prrahue220,Prropulli220->Rahue220,Prropulli220->Tineo220,PuntaSierra220->LPalmas220,PuntaSierra220->Mauro220,Quillota110->Mirafl110,Quillota110->Pachacam110,Quillota220->Mauro220,Quillota220->Polpaico220,Quillota220->Quillota110,Quintero220->SanLuis220,Rahue220->Tineo220,Ralco220->LosNotros220,Rancagua154->Tuniche154_I,Rancagua154->Tuniche154_II,Rapel220->AMelipill220,Rapel220->LoAguirre220,Renca110->CNavia110,RioTolten220->Ciruelos220,Rucue220->Charrua220,Salar110->Salar220,Salar220->Chuquicamata220,SalardelCarmen,Salta345->Andes345,SanLuis220->ASanta220,SanLuis220->Quillota220,SantaMaria220->Charrua220,SantaMarta220->Chena220,Sauzal110_2->Sauzal154,Sauzal154->Rancagua154,SCristobal110->CNavia110,SFcoMost066->Paine154,SJavier66->Constituci66,S-Km6100->Salar110,SMiguel66->Talca66,StaRosa110->AJahuel110,SVicente154->Hualpen154,SVicente154->Petroq154,Talca66->SJavier66,Talinay220->LaCebada220,Tamaya110->S-AA100_3B,Tamaya110->Salar110_4B,Tarapaca220->Condores220,Temuco220->Cautin220,Temuco220->Temuco66,Temuco66->Pillanlelbun66,Temuco66->LasVioletas66,Tilcoco154->Malloa154,Tilcoco154->PCortes154,Tineo220->PMontt220,Tinguiririca154->Itahue154,Tinguiririca154->Teno154,TO_Enlace220->Atacama220,Tocopilla110->S-AA100,Tocopilla110->Tamaya110,Tocopilla220->Tocopi110,Torquemada110->Mirafl110,Trupan220->Charrua220,Tuniche_1->PCortes154,Tuniche_1->Tinguiririca154,Tuniche_2->PCortes154,Valdivia220->Prropulli220,Ventanas110->Mirafl110,Ventanas110->Quillota110,Ventanas110->Torquemada110,Ventanas220->Ventanas110,HuertosFamiliares033->Polpaico220,DonHumberto033->PPeuco110,IncaOro033->DAlmagro220,LaCabana033->Mulchen220,Palpana033->Crucero220,UribeSolar033->Esmeralda110,ElevCapricornio033->Capricornio110,PuntaSierra033->PuntaSierra220,CentralSalvador023->DAlmagro110,SanAndres023->CPinto220,DesiertoAtacama033->Cardones110,Tamaya033->Tamaya110,Alfalfal220_CRCA->Alfalfal220,MariaElena023->MariaElena220,PEQ023_BP1->MariaElena220,PEQ023_BP4-5->MariaElena220,AndesSolar2_023>Andes220,Futuro033_CRCA2B>Andes220,Futuro033_CRCA4>Andes220,Futuro033_CRCA3>Andes220,VictorJara033->PAlmonte110,SantaRita023->Lagunas220,Gabriela033->ElCobre220,Bolero033->Laberinto220,Estepa033->Crucero220,CentralLosLoros023->Cardones110,Libelula033->Polpaico220,Iberelena033->Crucero220,PuntaDeTalca033->Talinay220
2026,5,11,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,11,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2026,5,12,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
